id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
29-Jan-2021_DLH8RJ,arrival,3.783333333333333,11,11,29,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,2,0,0,0,0,0,0,0,2
30-Jan-2021_DLH8RJ,arrival,4.866666666666666,11,11,30,1893.6378776833246,676.7532877848566,0,1655.9808281444225,107.541906653,0,1786.0959710303246,23R/05L,1,0,4,0,0,0,0,0,0,1,2
01-Feb-2021_DLH8RJ,arrival,3.6,11,11,01,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,4,0,0,0,0,0,0,2,2
02-Jan-2021_CLF076,departure,5.25,12,12,02,1783.8936469609537,312.3085688322256,0,1442.1724586837342,0,793.0457372249411,990.8479097360125,23R/05L,1,0,2,0,0,0,0,0,1,0,0
02-Jan-2021_LIGHT 8,arrival,0.4166666666666667,16,16,02,290.8506919276,183.54215112680282,0,92.1991276116,198.65156431600002,0,92.19912761159998,,-1,0,2,0,0,0,0,0,0,0,2
02-Jan-2021_RYR12FK,arrival,2.283333333333333,11,11,02,1148.9382869946494,407.76576281763323,0,934.9555601733496,91.6845157884,0,1057.2537712062494,,-1,0,3,0,0,0,1,0,0,1,2
03-Jan-2021_RYR12FK,arrival,4.633333333333334,12,12,03,1389.6529097128825,360.97157655861815,0,1115.834451631675,83.0918278028,608.7054608738868,697.8556210361958,23R/05L,1,0,4,0,0,1,0,0,0,1,2
08-Jan-2021_RYR12FK,arrival,2.95,20,20,08,1341.5012283830827,449.51732989915445,0,1062.3917936492749,88.9090138822,608.7054608738868,643.8867536269959,23R/05L,1,0,1,0,0,0,0,0,0,1,0
09-Jan-2021_RYR12FK,arrival,4.166666666666667,11,11,09,1710.0111796447486,557.9171731796462,0,1119.2900744194426,64.6124524558,575.4407558091866,1069.957971379762,23R/05L,1,0,4,0,0,1,0,0,0,4,0
13-Jan-2021_RYR12FK,arrival,15.8,00,00,13,1514.4115751170486,541.7508501763282,0,962.7071595540425,71.8532588843,575.4407558091866,867.117560423562,23R/05L,1,0,1,0,0,0,0,0,0,0,0
16-Jan-2021_RYR12FK,arrival,4.25,12,12,16,1493.115598206705,418.0196757156232,0,1036.2092724184495,91.6845157884,0,1401.431082418305,23R/05L,1,0,7,0,0,0,0,0,0,5,2
20-Jan-2021_RYR12FK,arrival,4.6,00,00,20,1426.856632103005,417.6932337306266,0,982.2404050092495,83.0918278028,0,1343.764804300205,23R/05L,1,0,0,0,0,0,0,0,0,0,0
02-Jan-2021_DLH8WT,departure,12.6,11,11,02,2871.1646525258884,728.6985006477767,0,2642.4744600346025,101.049188081,974.8760264943767,1795.2394379505117,23R/05L,1,0,5,0,2,0,0,1,2,0,0
03-Jan-2021_DLH8WT,departure,8.85,11,11,03,2014.4785294102164,523.666538050557,0,1699.7982919307617,103.676652407,0,1910.8018770032163,23R/05L,1,0,3,1,1,0,0,1,2,0,0
04-Jan-2021_DLH8WT,departure,8.0,11,11,04,1954.9038250344681,696.7522704363772,0,1694.3434641151846,90.959777885,0,1863.9440471494681,23R/05L,1,0,3,0,2,0,0,0,3,0,0
06-Jan-2021_DLH8WT,departure,8.183333333333334,11,11,06,2618.2090350906237,605.7115292198049,0,2248.3306041345413,104.571349969,1014.0460966443912,1499.5915884772326,23R/05L,1,0,5,0,0,0,0,2,2,0,0
08-Jan-2021_DLH8WT,departure,10.016666666666667,12,12,08,2538.4097944006235,607.4530497483003,0,2302.942851038941,103.676652407,1014.0460966443912,1420.6870453492324,23R/05L,1,0,4,0,1,0,0,1,1,0,0
09-Jan-2021_DLH8WT,departure,6.233333333333333,12,12,09,2374.4677634217937,551.8864238405555,0,1971.2397747930045,0,974.8760264943767,1399.591736927417,23R/05L,1,0,3,0,0,0,0,2,0,0,0
10-Jan-2021_DLH8WT,departure,13.516666666666667,11,11,10,3055.4510695533954,691.250977908505,0,2408.995671551268,107.541906653,793.0457372249411,2154.8634256754544,23R/05L,1,0,4,0,1,0,0,0,1,0,0
11-Jan-2021_DLH8WT,departure,8.866666666666667,12,12,11,2261.9817645827648,684.1182256413216,0,1628.497746754769,104.571349969,793.0457372249411,1364.3646773888236,23R/05L,1,0,1,0,0,0,0,0,1,0,0
13-Jan-2021_DLH8WT,departure,9.283333333333333,11,11,13,2535.1444303343937,719.570597466723,0,1916.6275278886042,104.571349969,974.8760264943767,1455.697053871017,23R/05L,1,0,2,0,1,0,0,0,2,0,0
15-Jan-2021_DLH8WT,departure,5.883333333333334,12,12,15,2603.1169839597237,600.2465464766008,0,2192.225287190941,0,1014.0460966443912,1589.0708873153326,23R/05L,1,0,3,0,1,0,0,0,3,0,0
16-Jan-2021_DLH8WT,departure,11.533333333333333,11,12,16,3328.6137353050244,726.7033497339064,0,2697.1254526851026,107.541906653,974.8760264943767,2246.195802157648,23R/05L,1,0,4,0,0,0,0,1,1,0,0
17-Jan-2021_DLH8WT,departure,14.883333333333333,11,12,17,3055.4510695533954,691.250977908505,0,2408.995671551268,107.541906653,793.0457372249411,2154.8634256754544,23R/05L,1,0,2,1,0,0,0,1,1,0,0
18-Jan-2021_DLH8WT,departure,10.716666666666667,11,11,18,2535.1444303343937,719.570597466723,0,1916.6275278886042,104.571349969,974.8760264943767,1455.697053871017,23R/05L,1,0,6,0,1,0,0,0,3,0,0
20-Jan-2021_DLH8WT,departure,8.233333333333333,11,11,20,2503.3314096143936,640.5173116696169,0,1916.6275278886042,104.571349969,974.8760264943767,1423.8840331510169,23R/05L,1,0,3,0,0,0,0,0,3,0,0
22-Jan-2021_DLH8WT,departure,10.133333333333333,11,12,22,2535.1444303343937,719.570597466723,0,1916.6275278886042,104.571349969,974.8760264943767,1455.697053871017,23R/05L,1,0,3,0,1,0,0,0,3,0,0
23-Jan-2021_DLH8WT,departure,12.45,12,13,23,2823.717934111888,727.4421846565594,0,2591.2848357036023,104.792093998,974.8760264943767,1744.0498136195115,23R/05L,1,0,7,1,0,0,0,4,3,0,0
24-Jan-2021_DLH8WT,departure,9.7,12,12,24,2535.1444303343937,719.570597466723,0,1916.6275278886042,104.571349969,974.8760264943767,1455.697053871017,23R/05L,1,0,4,0,0,0,0,1,3,0,0
25-Jan-2021_DLH8WT,departure,6.916666666666667,12,12,25,2488.2393584834936,635.0523289264127,0,1860.5222109450042,0,974.8760264943767,1513.363331989117,23R/05L,1,0,4,0,1,0,0,0,4,0,0
27-Jan-2021_DLH8WT,departure,9.216666666666667,12,12,27,2261.9817645827648,684.1182256413216,0,1628.497746754769,104.571349969,793.0457372249411,1364.3646773888236,23R/05L,1,0,2,0,0,0,0,0,2,0,0
29-Jan-2021_DLH8WT,departure,26.566666666666666,12,12,29,2503.3314096143936,640.5173116696169,0,1916.6275278886042,104.571349969,974.8760264943767,1423.8840331510169,23R/05L,1,0,3,1,1,0,0,0,2,0,0
30-Jan-2021_DLH8WT,departure,12.016666666666667,11,12,30,3444.4445739407693,618.3376555493029,0,2885.206636698994,107.541906653,1563.3415961419041,1773.5610711458653,23R/05L,1,0,3,0,1,0,0,1,2,0,0
01-Feb-2021_DLH8WT,departure,6.15,11,12,01,2157.4104146137643,598.3969107227961,0,1604.2054505311687,0,793.0457372249411,1364.364677388823,23R/05L,1,0,5,0,1,0,0,1,4,0,0
02-Jan-2021_EZY95PW,departure,11.283333333333333,11,11,02,1549.6540537600906,360.73684226500023,0,1354.24344035388,71.1519727783,891.6137929142803,586.8882880675103,23R/05L,1,0,4,1,3,0,0,2,2,0,0
02-Jan-2021_EXS51B,arrival,4.833333333333333,11,11,02,2083.5742423439096,420.7537486160556,0,1669.7768420437292,104.818772907,537.6730309197001,1441.0824385172095,23R/05L,1,0,5,0,0,0,1,0,0,3,2
02-Jan-2021_EZY75ZF,arrival,3.45,11,11,02,1378.7049507732052,418.05025342257045,0,928.7977470268495,88.9090138822,0,1289.795936891005,23R/05L,1,0,4,0,0,1,0,0,0,3,1
03-Jan-2021_EZY75ZF,arrival,3.4166666666666665,11,11,03,1479.4726084568824,363.5287616838547,0,1227.469597158975,83.4322277087,608.7054608738868,787.3349198742958,23R/05L,1,0,3,0,0,0,0,0,0,0,3
04-Jan-2021_EZY75ZF,arrival,5.15,15,15,04,1566.1152326581825,446.4360105154077,0,1259.2826178789749,170.07485191,608.7054608738868,787.3349198742958,23R/05L,1,0,1,0,0,1,0,0,0,1,0
